Species,Genome Size (bp)
Candidatus Karelsulcia muelleri,287254
Chlorovirus heliozoae,288047
Fowlpox virus,288539
Candidatus Walczuchella endosymbiont of Icerya purchasi,288648
Daphnia iridescent virus 1,288858
Cyprinid herpesvirus 2,290304
Cyprinid herpesvirus 1,291144
Ichnoviriform fumiferanae,291597
Candidatus Azoamicus ciliaticola,292520
Flamingopox virus FGPVKD09,293123
Cyprinid herpesvirus 3,295146
Klebsiella phage KpLz-2_45,296707
secondary endosymbiont of Trabutina mannipara,298471
Pseudomonas phage vB_PaeM_PS119XW,301543
Shrimp white spot syndrome virus,305119
Pseudomonas phage Psa21,305260
Penguinpox virus,306862
Klebsiella phage vB_KpM_FBKp24,307210
Choristoneura biennis entomopoxvirus,307691
Caulobacter phage CcrPW,308141
Pseudomonas phage Phabio,309157
Pseudomonas phage PhiPA3,309208
Candidatus Walczuchella monophlebidarum,309299
Pseudomonas phage 201phi2-1,316674
Caulobacter phage CcrSC,317489
Paramecium bursaria Chlorella virus FR483,321240
Caulobacter phage CcrBL9,322272
Only Syngen Nebraska virus 5,327147
Paramecium bursaria Chlorella virus 1,330611
Ectocarpus siliculosus virus 1,335593
Candidatus Zinderia endosymbiont of Aphrophora alni,336619
Paramecium bursaria Chlorella virus AR158,344691
Klebsiella phage vB_KleM_RaK2,345809
Klebsiella phage K64-1,346602
Lausannevirus,346754
Escherichia phage PBECO4,348113
Escherichia phage 121Q,348532
Candidatus Annandia pinicola,348580
Kaumoebavirus,350731
Candidatus Mikella endobia,352837
Yersinia phage fHe-Yen9-04,354378
Serratia phage BF,357154
Candidatus Portiera aleyrodidarum MED (Bemisia tabaci),357461
Candidatus Portiera aleyrodidarum BT-QVLC,357472
Candidatus Portiera aleyrodidarum BT-B-HRs,358242
Cronobacter phage vB_CsaM_GAP32,358663
Candidatus Portiera aleyrodidarum,359359
Canarypox virus,359853
Golden Marseillevirus,360610
Brazilian marseillevirus,362276
Marseillevirus marseillevirus,368454
Paramecium bursaria Chlorella virus NY2A,368683
Melbournevirus,369360
Aureococcus anophagefferens virus,370920
Tokyovirus A1,372707
Noumeavirus,376207
Pectobacterium phage vB_PcaM_CBB,378379
Tunisvirus fontaine2,380011
Acanthamoeba castellanii medusavirus,381277
Pacmanvirus A23,395405
Buchnera aphidicola (Greenidea ficicola),406414
Emiliania huxleyi virus 86,407339
Buchnera aphidicola (Therioaphis trifolii),419293
Buchnera aphidicola (Astegopteryx bambusae),421175
Buchnera aphidicola (Pseudoregma panicola),422138
Buchnera aphidicola BCc,422434
Buchnera aphidicola (Ceratovacuna keduensis),422862
Buchnera aphidicola (Nippolachnus piri),427360
Buchnera aphidicola (Chaitoregma tattakana),428368
Buchnera aphidicola (Mollitrichosiphum nigrofasciatum),428918
Buchnera aphidicola (Tuberolachnus salignus),431586
Buchnera aphidicola (Takecallis taiwana),433453
Buchnera aphidicola (Ceratoglyphina bambusae),433948
Chrysochromulina parva virus,437255
Buchnera aphidicola (Drepanosiphum platanoidis),449227
Buchnera aphidicola (Cinara confinis),451961
Buchnera aphidicola (Periphyllus koelreuteriae),452078
Buchnera aphidicola (Cinara pseudotaxifoliae),455403
Buchnera aphidicola,456703
Buchnera aphidicola (Periphyllus lyropictus),456890
Buchnera aphidicola (Taiwanaphis decaspermi),456983
Buchnera aphidicola (Periphyllus acericola),459522
Phaeocystis globosa virus,459984
Buchnera aphidicola (Sipha maydis),462833
Candidatus Profftella armatura,466568
Chrysochromulina ericina virus,473558
Enterobacteriaceae endosymbiont of Macroplea mutica,474063
Candidatus Purcelliella pentastirinorum,483618
Agrobacterium phage Atu_ph07,490380
Bacillus phage G,497513
Enterobacteriaceae endosymbiont of Plateumaris pusilla,519975
Buchnera aphidicola (Kurisakia onigurumii),520091
Alphaproteobacteria bacterium endosymbiont of Tiliacea citrago,523818
Candidatus Legionella polyplacis,530980
Candidatus Westeberhardia cardiocondylae,532684
Candidatus Moranella endobia PCVAL,538203
Candidatus Moranella endobia PCIT,538294
Buchnera aphidicola (Mindarus keteleerifoliae),551727
Wolbachia endosymbiont of Howardula sp.,553558
Phytoplasma sp.,559940
Buchnera aphidicola (Formosaphis micheliae),563495
Mycoplasma parvum str. Indiana,564395
Bracoviriform congregatae,567670
Buchnera aphidicola (Neophyllaphis podocarpi),568368
Candidatus Schneideria nysicola,572184
Candidatus Riesia pediculicola,574999
Maize bushy stunt phytoplasma,576118
Mycoplasmoides genitalium M6282,579504
Mycoplasmoides genitalium M2288,579558
Mycoplasmoides genitalium M6320,579796
Mycoplasmoides genitalium M2321,579977
Mycoplasmoides genitalium,580076
Mycoplasmoides genitalium G37,580076
Candidatus Riesia pediculicola USDA,582127
Candidatus Gromoviella agglomerans,589967
Blattabacterium sp. (Mastotermes darwiniensis) str. MADAR,590336
Candidatus Phytoplasma fraxini,598519
Buchnera aphidicola (Nipponaphis monzeni),599733
Candidatus Phytoplasma mali,601943
'Catharanthus roseus' aster yellows phytoplasma,603949
Buchnera aphidicola (Schlechtendalia chinensis),607835
Blattabacterium sp. (Cryptocercus punctulatus) str. Cpu,609561
Pithovirus sibericum,610033
Blattabacterium punctulatus CPU2,612516
Buchnera aphidicola (Uroleucon sonchi),614349
Blattabacterium punctulatus,615935
Candidatus Nesciobacter abundans,616058
Cafeteria roenbergensis virus BV-PW1,617453
Buchnera aphidicola str. Bp (Baizongia pistaciae),618379
Blattabacterium clevelandi,620771
Mulberry dwarf phytoplasma,622358
Candidatus Cytomitobacter primus,622378
Coxiella endosymbiont of Amblyomma sculptum,622921
Blattabacterium sp. (Nauphoeta cinerea),626626
Buchnera aphidicola str. Ua (Uroleucon ambrosiae),627953
Buchnera aphidicola (Aphis gossypii),628100
Buchnera aphidicola (Muscaphis stroyani),630615
Blattabacterium cuenoti STAT,631621
Blattabacterium cuenoti BPAY,632370
Blattabacterium cuenoti BPAA,632490
Blattabacterium sp. (Blaberus giganteus),632588
Buchnera aphidicola (Diuraphis noxia),636266
Candidatus Hoaglandella endobia,636713
Blattabacterium sp. (Cryptocercus kyebangensis),637356
Buchnera aphidicola (Melanaphis sacchari),637486
Blattabacterium sp. (Blatta orientalis) str. Tarazona,638184
Buchnera aphidicola (Aphis glycines),638851
Buchnera aphidicola (Aphis aurantii),639369
Blattabacterium sp. (Periplaneta americana) str. BPLAN,640442
Blattabacterium sp. (Blattella germanica) str. Bge,640935
Buchnera aphidicola str. Sg (Schizaphis graminum),641454
Buchnera aphidicola str. JF99 (Acyrthosiphon pisum),641716
Buchnera aphidicola str. LL01 (Acyrthosiphon pisum),641799
Buchnera aphidicola (Aphis craccivora),641853
Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum),641895
Buchnera aphidicola str. LSR1 (Acyrthosiphon pisum),642011
Buchnera aphidicola str. 5A (Acyrthosiphon pisum),642122
Buchnera aphidicola (Rhopalosiphum maidis),642929
Buchnera aphidicola (Aphis craccivore),643359
Mycoplasmopsis meleagridis,644173
Buchnera aphidicola (Hyadaphis tataricae),644774
Buchnera aphidicola (Aphis helianthi),645010
Blattabacterium cuenoti,645229
Buchnera aphidicola (Macrosiphum euphorbiae),645334
Buchnera aphidicola (Sitobion avenae),647564
Mycoplasma sp. (ex Biomphalaria glabrata),647830
Mycoplasma wenyonii str. Massachusetts,650228
Buchnera aphidicola str. W106 (Myzus persicae),651304
Buchnera aphidicola str. USDA (Myzus persicae),651306
Buchnera aphidicola str. F009 (Myzus persicae),651310
Buchnera aphidicola str. G002 (Myzus persicae),651316
Mollivirus sibericum,651523
Buchnera aphidicola str. Ak (Acyrthosiphon kondoi),653223
Buchnera aphidicola (Schizaphis graminum),653353
Buchnera aphidicola (Macrosiphum gaurae),654448
Metamycoplasma subdolum,654603
Buchnera aphidicola str. APS (Acyrthosiphon pisum),655725
Coxiella endosymbiont of Amblyomma americanum,656901
Coxiella-like endosymbiont of Amblyomma americanum,656933
Candidatus Hepatoplasma crinochetorum Av,657101
Arsenophonus endosymbiont of Aleurodicus dispersus,663125
Metamycoplasma hominis ATCC 23114,665445
Tetraselmis virus 1,668031
Nanobdella aerobiophila,668961
Buchnera aphidicola (Sitobion miscanthi),671355
Candidatus Nanosynbacter sp. HMT-352,677938
Baumannia cicadellinicola str. Hc (Homalodisca coagulata),686194
Mycoplasma sp. 1018B,687102
Mycoplasma iguanae,688439
Candidatus Minimicrobia sp. QA0096,689351
Metamycoplasma gateae,689432
Metamycoplasma cloacale,689509
Mycoplasma phocoenae,693115
Metamycoplasma canadense,693241
Spiroplasma endosymbiont of Crioceris asparagi,701400
Mycoplasma ovis str. Michigan,702511
Candidatus Phytoplasma solani,704525
Candidatus Minimicrobia vallesae,706973
Candidatus Tachikawaea gelatinosa,708439
Mycoplasma suis KI3806,709270
Mycoplasma sp. 888,714928
Metamycoplasma hominis ATCC 27545,715165
Metamycoplasma equirhinis,719195
Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans (Yale colony),719535
Candidatus Blochmanniella vafra str. BVAF,722585
Aster yellows witches'-broom phytoplasma AYWB,723970
Blochmannia endosymbiont of Colobopsis nipponica,728116
Metamycoplasma salivarium,728347
Ureaplasma parvum serovar 3,732031
Mycoplasma struthionis,737591
Metamycoplasma phocicerebrale,740800
Mycoplasmopsis arginini,741674
Candidatus Kinetoplastibacterium sorsogonicusi,741697
Ureaplasma parvum,741809
Mycoplasma suis str. Illinois,742431
Spiroplasma platyhelix PALS-1,744499
Candidatus Blochmannia ocreatus,746321
Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri,749321
[Mycoplasma] anseris,750009
Ureaplasma parvum serovar 3 str. ATCC 27815,751679
Ureaplasma parvum serovar 3 str. ATCC 700970,751719
Candidatus Ishikawaella capsulata Mpkobe,754729
Candidatus Providencia siddallii,755758
Candidatus Mycoplasma haematolamae str. Purdue,756845
Mycoplasmopsis felifaucium,757356
Candidatus Palibaumannia cicadellinicola,759425
Mesomycoplasma bovoculi M165/69,760240
Candidatus Phytoplasma rubi,762251
Candidatus Phytoplasma ziziphi,764108
Mycoplasma tauri,764150
Mycoplasma sp. 2045,765084
Candidatus Phytoplasma luffae,769143
Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus,773940
Mycoplasma phocoeninasale,776009
Mycoplasmopsis columbina,776661
Mycoplasma mobile 163K,777079
Candidatus Phytoplasma asteris,778308
Candidatus Blochmannia vicinus,778501
Mesomycoplasma flocculare ATCC 27399,778866
Mycoplasma miroungirhinis,779550
Metamycoplasma hominis,780024
Blochmannia endosymbiont of Camponotus sp. C-046,783790
Candidatus Blochmannia sp. SNP,783877
Blochmannia endosymbiont of Camponotus sp. C-003,783921
Blochmannia endosymbiont of Camponotus nipponensis,788522
Blochmannia endosymbiont of Camponotus sp.,790497
Blochmannia endosymbiont of Camponotus modoc,790842
Candidatus Blochmanniella camponoti,791111
Candidatus Blochmanniella chromaiodes str. 640,791219
Candidatus Blochmanniella pennsylvanica,791499
Candidatus Blochmanniella pennsylvanica str. BPEN,791654
Mesoplasma florum L1,793224
Candidatus Mycoplasma mahonii,796768
Mycoplasmopsis californica HAZ160_1,799088
Mycoplasmopsis synoviae 53,799476
Mesoplasma coleopterae,800407
Candidatus Chazhemtobacterium aquaticus,801504
Mycoplasma nasistruthionis,803230
Candidatus Nanosynbacter featherlites,804253
Mycoplasmopsis californica,805917
Metamycoplasma arthritidis,806209
Metamycoplasma orale,806218
Mycoplasmopsis equigenitalium,806532
Candidatus Kinetoplastibacterium oncopeltii TCC290E,810172
Spiroplasma sp. TIUS-1,811521
[Mycoplasma] phocae,814478
Mycoplasma miroungigenitalium,815486
Mycoplasmoides pneumoniae 85138,816402
Mycoplasmoides pneumoniae 51494,816404
Mycoplasmoides pneumoniae 85084,816404
Mycoplasmoides pneumoniae M129-B7,816451
Mycoplasmoides pneumoniae PI 1428,816496
Mycoplasmoides pneumoniae M129,816550
Mycoplasmoides pneumoniae 54089,816565
Mycoplasmoides pneumoniae 54524,816583
Mycoplasmoides pneumoniae M1139,817045
Mycoplasmoides pneumoniae MAC,817156
Mycoplasmoides pneumoniae 309,817176
Mycoplasmoides pneumoniae 39443,817184
Mycoplasmoides pneumoniae M2592,817198
Mycoplasmoides pneumoniae FH,817207
Mycoplasmoides pneumoniae PO1,817216
Mycoplasmoides pneumoniae 19294,817313
Candidatus Kinetoplastibacterium blastocrithidii TCC012E,820029
Candidatus Kinetoplastibacterium blastocrithidii (ex Strigomonas culicis),820037
Mesoplasma florum,820043
Metamycoplasma arthritidis 158L3-1,820453
Metamycoplasma alkalescens,821059
Candidatus Kinetoplastibacterium crithidii (ex Angomonas deanei ATCC 30255),821813
Candidatus Kinetoplastibacterium crithidii TCC036E,821930
Spiroplasma endosymbiont of Othius punctulatus,822087
Candidatus Kinetoplastibacterium galatii TCC219,822140
Mycoplasmoides pneumoniae,823017
Candidatus Nanosynbacter lyticus,823929
Mesoplasma florum W37,825824
Candidatus Hydrogenosomobacter endosymbioticus,826669
Mesomycoplasma hyorhinis MCLD,829709
Mycoplasmopsis edwardii,832213
Mycoplasma putrefaciens,832598
Mycoplasma putrefaciens KS1,832603
Candidatus Kinetoplastibacterium desouzaii TCC079E,833125
[Mycoplasma] gypis,833262
Candidatus Arsenophonus lipoptenae,836724
Mesomycoplasma hyorhinis SK76,836897
Candidatus Fokinia solitaria,837348
Mesomycoplasma hyorhinis DBS 1050,837447
Mesoplasma lactucae ATCC 49193,837471
Mesomycoplasma hyorhinis GDL-1,837480
Entomoplasma freundtii,838114
Mesomycoplasma hyorhinis HUB-1,839615
Mesoplasma melaleucae,845295
Mycoplasmopsis synoviae ATCC 25204,846495
Candidatus Doolittlea endobia,846562
Mesoplasma tabanidae,846907
Mesoplasma entomophilum,847967
Mycoplasmopsis synoviae,848181
Mycoplasmopsis columbinasalis,849456
Mycoplasmopsis bovigenitalium,853553
Ureaplasma urealyticum,853955
Mesoplasma chauliocola,854780
Mycoplasmoides pneumoniae M29,857799
Neorickettsia sennetsu str. Miyayama,859006
Mycoplasma putrefaciens Mput9231,859996
Wolbachia endosymbiont of Dipetalonema caudispina,863427
Wolbachia endosymbiont of Cruorifilaria tuberocauda,863988
Neorickettsia findlayensis,864092
Mycoplasmopsis phocirhinis,865472
Borreliella garinii PBr,866149
Mesomycoplasma hyorhinis,866962
Mycoplasma tullyi,867815
Williamsoniiplasma somnilux,868413
Mesomycoplasma molare,869728
Ureaplasma urealyticum serovar 10 str. ATCC 33699,874478
Mycoplasmopsis agalactiae PG2,877438
Neorickettsia risticii str. Illinois,879977
Neorickettsia helminthoeca str. Oregon,884232
Spiroplasma monobiae MQ-1,891575
Paulownia witches'-broom phytoplasma,891641
Mesomycoplasma hyopneumoniae 232,892758
Mycoplasma sp. 1578d,893515
Mycoplasma yeatsii GM274B,895051
Mesomycoplasma hyopneumoniae J,897405
Mycoplasmopsis canis PG 14,897443
Mesomycoplasma hyopneumoniae 7422,898495
Coxiella endosymbiont of Dermacentor marginatus,901206
Mycoplasma sp. Pen4,901484
Borreliella garinii SZ,902487
Borreliella garinii NMJW1,902789
Candidatus Endowatersipora endosymbiont of Watersipora subatra,905990
Metamycoplasma hyosynoviae,906150
Borrelia sp. BU AG58,907848
Mesoplasma syrphidae,908214
Borrelia sp. HM,914768
Spiroplasma sp. BIUS-1,915326
Candidatus Xiphinematobacter sp. Idaho Grape,915884
Borreliella afzelii,918834
Mycoplasmopsis maculosa,919297
Mycoplasma haemocanis str. Illinois,919992
Mesomycoplasma hyopneumoniae 7448,920079
Wolbachia endosymbiont of Dirofilaria (Dirofilaria) immitis,920122
Mesomycoplasma hyopneumoniae 168-L,921093
Borrelia hermsii CC1,922280
Mycoplasma sp. 1654_15,923061
Mycoplasma sp. Ms02,924269
Mesomycoplasma hyopneumoniae 168,925576
Mycoplasma sp. E35C,925667
Tropheryma whipplei TW08/27,925938
Mycoplasmoides gallisepticum NC08_2008.031-4-3P,926650
Tropheryma whipplei str. Twist,927303
Arsenophonus symbiont of Ornithomya chloropus,928669
Mycoplasma crocodyli MP145,934379
Borrelia miyamotoi LB-2001,937966
Candidatus Gullanella endobia,938041
Mycoplasmoides gallisepticum NC06_2006.080-5-2P,938869
Mycoplasmoides gallisepticum WI01_2001.043-13-2P,939844
Cardinium endosymbiont cEper1 of Encarsia pergandiella,944930
Spiroplasma diminutum CUAS-1,945296
Mycoplasmopsis verecunda,946797
Mycoplasmopsis bovirhinis,948039
Mycoplasmopsis bovis Hubei-1,948121
Candidatus Nanohalococcus occultus,948351
Mycoplasmopsis bovis CQ-W70,948516
Candidatus Mancarchaeum acidiphilum,952257
Mycoplasmoides gallisepticum NC95_13295-2-2P,953989
Wolbachia endosymbiont of Onchocerca ochengi,957990
Mycoplasma anserisalpingitidis,959110
Strawberry lethal yellows phytoplasma (CPA) str. NZSb11,959779
Mesomycoplasma hyopneumoniae,960532
Wolbachia endosymbiont of Onchocerca volvulus str. Cameroon,960618
Mycoplasmopsis pulmonis,962791
Mycoplasma sp. OR1901,962938
Mycoplasmopsis pulmonis UAB CTIP,963879
Mycoplasmoides gallisepticum VA94_7994-1-7P,964110
Mycoplasmoides gallisepticum NY01_2001.047-5-1P,965525
Mycoplasmopsis columboralis,966675
Mycoplasma sp. 3686d,969795
Mesomycoplasma lagogenitalium,973223
Mycoplasmopsis glycophila,973410
Candidatus Nanohalobium constans,973463
Mycoplasmoides gallisepticum CA06_2006.052-5-2P,976412
Mycoplasmopsis fermentans JER,977524
Mycoplasmoides gallisepticum str. F,977612
Mycoplasmopsis anatis,978241
Spiroplasma endosymbiont of Diplazon laetatorius,979438
Mycoplasma bradburyae,981938
Spiroplasma endosymbiont of Labia minor,984411
Mycoplasmoides gallisepticum S6,985433
Mycoplasmoides gallisepticum NC96_1596-4-2P,986257
Mycoplasmopsis felis,987451
Borreliella afzelii Tom3107,987652
Candidatus Micrarchaeum sp.,989838
Mycoplasmopsis bovis HB0801,991702
Borreliella valaisiana Tom4006,992695
Borreliella garinii BgVir,993811
Mycoplasmopsis canis,996787
Borreliella andersonii,996977
Mycoplasmopsis cynos C142,998123
Borrelia sp. CA_690,1000420
Borreliella finlandensis,1002970
Coxiella endosymbiont of Amblyomma nuttalli,1003026
Borreliella californiensis,1003070
Mycoplasmopsis bovis PG45,1003404
Borreliella americana,1003506
Mycoplasmopsis agalactiae,1006702
Mycoplasmopsis pullorum,1007172
Candidatus Comchoanobacter bicostacola,1007335
Borreliella lanei,1007738
Mycoplasma leachii PG50,1008951
Mycoplasma capricolum subsp. capricolum ATCC 27343,1010023
Borreliella spielmanii,1010126
Borreliella yangtzensis,1011294
Mycoplasmoides gallisepticum,1011807
Mycoplasmoides gallisepticum str. R(high),1012027
Borreliella bissettiae,1012412
Borreliella turdi,1012455
Mycoplasmoides gallisepticum str. R(low),1012800
Borreliella tanukii,1012946
Candidatus Saccharimonas aalborgensis,1013781
Borreliella kurtenbachii,1015378
Borreliella sinica,1016493
Mycoplasma cottewii,1016659
Mycoplasma capricolum subsp. capripneumoniae M1601,1016707
Moumouvirus goulette,1016844
Mycoplasma capricolum subsp. capripneumoniae 87001,1017333
Mycoplasma capricolum subsp. capripneumoniae,1017343
Borreliella japonica,1017684
Acanthamoeba polyphaga moumouvirus,1021348
Borreliella carolinensis,1021421
Candidatus Vesicomyosocius okutanii,1022154
Spiroplasma endosymbiont of Dilophus febrilis,1022979
Mycoplasmopsis gallopavonis,1028044
Mycoplasma amphoriforme A39,1029022
Borrelia parkeri HR1,1030684
Williamsoniiplasma luminosum,1031560
Candidatus Vesicomyosocius sp. SY067_SCS001,1032764
Borreliella lusitaniae,1034297
Chlamydia trachomatis L2c,1038313
Chlamydia trachomatis RC-J/971,1038442
Chlamydia trachomatis RC-J/953,1038792
Chlamydia trachomatis RC-J/943,1038797
Chlamydia trachomatis RC-L2(s)/46,1038817
Chlamydia trachomatis L2/25667R,1038839
Chlamydia trachomatis RC-J/966,1038839
Chlamydia trachomatis L2/434/Bu,1038842
Chlamydia trachomatis L2b/UCH-1/proctitis,1038863
Chlamydia trachomatis RC-L2/55,1038870
Chlamydia trachomatis L1/440/LN,1039261
Mesomycoplasma neurolyticum,1040908
Chlamydia trachomatis G/11222,1042354
Chlamydia trachomatis D/UW-3/CX,1042519
Borrelia anserina Es,1042690
Chlamydia trachomatis F/SW4,1042736
Chlamydia trachomatis F/SW5,1042743
Chlamydia trachomatis D(s)2923,1042757
Chlamydia trachomatis G/9768,1042810
Chlamydia trachomatis G/9301,1042811
Chlamydia trachomatis Sweden2,1042839
Chlamydia trachomatis F/11-96,1042853
Chlamydia trachomatis G/11074,1042875
Chlamydia trachomatis E/SW3,1042903
Chlamydia trachomatis E/150,1042996
Chlamydia trachomatis E/11023,1043025
Chlamydia trachomatis 6276,1043181
Chlamydia trachomatis 6276s,1043182
Chlamydia trachomatis B/TZ1A828/OT,1044282
Chlamydia trachomatis B/Jali20/OT,1044352
Wolbachia endosymbiont of Litomosoides sigmodontis,1045802
Chlamydia trachomatis 70s,1046064
Chlamydia trachomatis RC-F/69,1046087
Chlamydia trachomatis RC-L2(s)/3,1046171
Chlamydia trachomatis L2b/795,1046220
Chlamydia trachomatis L1/224,1046319
Chlamydia trachomatis L2b/UCH-2,1046337
Chlamydia trachomatis L2/434/Bu(i),1046341
Chlamydia trachomatis L2/434/Bu(f),1046341
Chlamydia trachomatis L2b/8200/07,1046364
Chlamydia trachomatis L1/115,1046584
Chlamydia trachomatis L3/404/LN,1046672
Candidatus Nanohalovita haloferacivicina,1046959
Chlamydia trachomatis 70,1048006
Chlamydia avium 10DC88,1048269
Chlamydia trachomatis D-LC,1050013
Chlamydia trachomatis D-EC,1050015
Chlamydia trachomatis E/Bour,1050091
Chlamydia trachomatis Ia/SotonIa1,1050130
Chlamydia trachomatis D/CS637/11,1050173
Chlamydia trachomatis Ia/SotonIa3,1050283
Chlamydia trachomatis C/TW-3,1051055
Chlamydia trachomatis A/363,1051528
Chlamydia trachomatis A2497,1051806
Chlamydia trachomatis A/7249,1051879
Chlamydia trachomatis A/HAR-13,1051969
Spiroplasma endosymbiont of Panorpa germanica,1054068
Borrelia anserina,1054469
Chlamydia trachomatis,1056419
Chlamydia trachomatis RC-J(s)/122,1061854
Mycoplasma seminis,1064223
Chlamydia gallinacea 08-1274/3,1067202
Chlamydia gallinacea,1068772
Spiroplasma endosymbiont of Atherix ibis,1072050
Chlamydia muridarum str. Nigg3 CMUT3-5,1072951
Chlamydia muridarum str. Nigg 2 MCR,1072952
Chlamydia muridarum str. Nigg CM972,1072952
Wolbachia endosymbiont of Brugia pahangi,1072967
Spiroplasma sabaudiense Ar-1343,1075953
Chlamydia trachomatis L2tet1,1076624
Wolbachia endosymbiont of Brugia malayi,1080064
Wolbachia endosymbiont strain TRS of Brugia malayi,1080084
Chlamydia muridarum str. Nigg,1080451
Chlamydia trachomatis J/6276tet1,1080953
Candidatus Mycosynbacter amalyticus,1081308
Mesomycoplasma ovipneumoniae ATCC 29419,1081520
Chlamydia trachomatis RC-F(s)/342,1083842
Chlamydia trachomatis RC-F(s)/852,1083893
Mycoplasma feriruminatoris,1084341
Mesomycoplasma dispar,1084609
Spiroplasma taiwanense CT-1,1086278
Mycoplasma mycoides subsp. capri str. GM12,1089202
Chlamydia muridarum,1090830
Mycoplasmopsis cynos,1093147
Cardinium endosymbiont of Philonthus spinipes,1093165
Moumouvirus australiensis,1098002
Chlamydia suis,1102215
Spiroplasma endosymbiont of Eupeodes luniger,1103341
Cardinium endosymbiont of Sogatella furcifera,1103593
Chlamydia pecorum PV3056/3,1104552
Chlamydia pecorum E58,1106197
Chlamydia pecorum P787,1106409
Chlamydia pecorum W73,1106534
Spiroplasma endosymbiont of Nephrotoma flavescens,1107293
Spiroplasma syrphidicola EA-1,1107344
Rickettsia prowazekii str. Breinl,1109301
Borrelia maritima,1109596
Rickettsia prowazekii str. Chernikova,1109804
Rickettsia prowazekii str. BuV67-CWPP,1111445
Rickettsia prowazekii str. Katsinyian,1111454
Rickettsia typhi str. Wilmington,1111496
Rickettsia prowazekii str. NMRC Madrid E,1111520
Rickettsia prowazekii str. Madrid E,1111523
Rickettsia prowazekii str. Rp22,1111612
Rickettsia prowazekii,1111769
Rickettsia typhi,1111939
Rickettsia prowazekii str. GvV257,1111969
Rickettsia prowazekii str. RpGvF24,1112101
Rickettsia typhi str. TH1527,1112372
Mycoplasmopsis bovis,1112468
Rickettsia typhi str. B9991CWPP,1112957
Chlamydia pecorum,1113950
Mycoplasma capricolum subsp. capricolum,1117925
Candidatus Babela massiliensis,1118422
Mycoplasmopsis fermentans M64,1118751
Spiroplasma endosymbiont of Polydrusus cervinus,1120781
secondary endosymbiont of Heteropsylla cubana,1121596
Spiroplasma chrysopicola DF-1,1123322
Candidatus Vallotia lariciata,1125782
Candidatus Absconditicoccus praedator,1129696
Candidatus Erwinia haradaeae,1131610
Treponema paraluiscuniculi,1132489
Spiroplasma mirum ATCC 29335,1132608
Treponema paraluiscuniculi Cuniculi A,1133390
Cardinium endosymbiont of Oedothorax gibbosus,1137202
Treponema pallidum subsp. pallidum str. Nichols,1138011
Treponema pallidum subsp. pallidum str. Sea 81-4,1139203
Treponema pallidum subsp. pallidum,1139838
Treponema pallidum subsp. pertenue,1140667
Chlamydia abortus S26/3,1144377
Chlamydia psittaci GR9,1147152
Mycoplasma haemofelis str. Langford 1,1147259
Chlamydia psittaci WS/RT/E30,1148342
Candidatus Endomicrobium trichonymphae,1148570
Ehrlichia japonica,1148904
Rickettsia canadensis str. CA410,1150228
Wolbachia endosymbiont (group A) of Scambus nigricans,1150902
Mycoplasmopsis caviae,1155014
Mycoplasma mycoides subsp. capri LC str. 95010,1155838
Rickettsia canadensis str. McKiel,1159772
Chlamydophila parapsittaci,1160112
Candidatus Fonsibacter ubiquis,1160202
Spiroplasma atrichopogonis,1160484
Spiroplasma apis B31,1160554
Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica),1160782
Borrelia hermsii,1161689
Candidatus Nanopelagicus abundans,1161863
Chlamydia poikilotherma,1162663
Chlamydia buteonis,1162766
Spiroplasma gladiatoris,1164642
Chlamydia psittaci M56,1168938
Chlamydia psittaci NJ1,1168986
Chlamydia psittaci C19/98,1169374
Ehrlichia chaffeensis str. West Paces,1170935
Chlamydia psittaci 08DC60,1172032
Chlamydia psittaci 02DC15,1172182
Chlamydia psittaci 01DC11,1172197
Rickettsia sp. Oklahoma-10,1172310
Ehrlichia chaffeensis str. Heartland,1172721
Chlamydia felis Fe/C-56,1173791
Wolbachia endosymbiont (group A) of Anthophora plumipes,1173856
Ehrlichia chaffeensis str. Saint Vincent,1173884
Chlamydia abortus,1174186
Candidatus Chromulinivorax destructor,1174272
Ehrlichia chaffeensis str. Wakulla,1174357
Spiroplasma culicicola AES-1,1175131
Ehrlichia chaffeensis str. Osceola,1175197
Chlamydia psittaci MN,1175981
Ehrlichia chaffeensis str. Liberty,1176202
Ehrlichia chaffeensis str. Arkansas,1176248
Ehrlichia chaffeensis str. Jax,1176890
Chlamydia psittaci 6BC,1179220
Spiroplasma cantharicola,1179577
Chlamydia psittaci WC,1179818
Chlamydia psittaci,1179934
Chlamydia caviae GPIC,1181356
Borrelia sp. RT5S,1181605
Candidatus Liberibacter africanus,1182668
Candidatus Midichloria mitochondrii IricVA,1183732
Mycoplasmopsis gallinacea,1183913
Candidatus Profftia sp. (ex Adelges kitamiensis),1185617
Candidatus Ruthia endofausta,1188809
Mycoplasma mycoides,1188839
Wolbachia endosymbiont (group A) of Tromatobia lineatoria,1189513
Candidatus Liberibacter asiaticus str. Ishi-1,1190853
Candidatus Liberibacter africanus PTSAPSY,1192232
Mycoplasma mycoides subsp. mycoides,1192498
Candidatus Cardinium hertigii,1193042
